artificial_physical_objectLabel,material_usedLabel,subclass_ofLabel,useLabel,has_partLabel
telega,,horse-drawn vehicle,,paddle
telega,,horse-drawn vehicle,,paddle
guban,,musical instrument,,paiban
Class of Cabinet des Médailles 218,,ancient Greek potter,,Pamphaios
Class of Cabinet des Médailles 218,,black-figure vase painter,,Pamphaios
Class of Cabinet des Médailles 218,,Nikosthenic amphora,,Pamphaios
basilica,,church,,papal basilica
paper mill,,factory,,Paper machine
paper mill,,mill,,Paper machine
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Parana wreck
Noah's Ark and the Ark Rock wrecks,,inshore dive site,,Parana wreck
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Parana wreck
Noah's Ark and the Ark Rock wrecks,,recreational dive site,,Parana wreck
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Parana wreck
Noah's Ark and the Ark Rock wrecks,,shipwreck,,Parana wreck
gas turbine trainset,,trainset,,passenger car
gas turbine trainset,,trainset,,passenger car
basilica,,church,,patriarchal basilica
arm armor,,armor component,,pauldron
arm armor,,armor component,,pauldron
arm armor,,body armor,,pauldron
plate armour,,body armor,,pauldron
arm armor,,body armor,,pauldron
plate armour,,body armor,,pauldron
Paveway,,laser-guided bomb,,Paveway IV
Paveway,,laser-guided bomb,,Paveway IV
LINC-8,,minicomputer,,PDP-8
door,,architectural element,,peephole
door,,device,,peephole
PIGA accelerometer,,accelerometer,,pendulum
pendulum clock,,analog watch,,pendulum
pendulum clock,,clock,,pendulum
shell,,ammunition,,percussion cap
cartridge,,ammunition,,percussion cap
shell,,ammunition,,percussion cap
cartridge,,product,,percussion cap
shell,,projectile,,percussion cap
shell,,projectile,,percussion cap
percussion rifle,,rifle,,percussion cap
shell,,weapon,,percussion cap
shell,,weapon,,percussion cap
Lynch motor,,brushed DC electric motor,,permanent magnet
permanent magnet motor,,synchronous motor,,permanent magnet
mortar and pestle,,dyad,,pestle
mortar and pestle,,dyad,,pestle
mortar and pestle,,kitchenware,,pestle
mortar and pestle,,kitchenware,,pestle
mortar and pestle,,laboratory equipment,,pestle
mortar and pestle,,laboratory equipment,,pestle
Kirov-class battlecruiser,,battlecruiser,,Petr Velikiy
Kirov-class battlecruiser,,battlecruiser,,Petr Velikiy
Kirov-class battlecruiser,,battlecruiser,,Petr Velikiy
Kirov-class battlecruiser,,guided missile cruiser,,Petr Velikiy
Kirov-class battlecruiser,,guided missile cruiser,,Petr Velikiy
Kirov-class battlecruiser,,guided missile cruiser,,Petr Velikiy
sun sensor,,navigational instrument,,photodetector
sun sensor,,sensor,,photodetector
photo equipment,,equipment,,photographic film
photo equipment,,equipment,,photographic film
electric guitar,,electro-acoustic instruments,,pickup
electric guitar,,guitar,,pickup
electric lamellophone,,lamellophone,,pickup
pilaster facade,,facade,,pilaster
reciprocating engine,,engine-generator,,piston
reciprocating engine,,internal combustion engine,,piston
reciprocating engine,,Kolbenmaschine,,piston
telega,,horse-drawn vehicle,,plank
telega,,horse-drawn vehicle,,plank
Compaq Portable III,,portable computer,,plasma display
tableware,,kitchenware,,plate
tableware,,kitchenware,,plate
tableware,,manufactured object,,plate
tableware,,manufactured object,,plate
tableware,,product,,plate
tableware,,product,,plate
lacrosse stick,plastic,sports stick,,pocket
lacrosse stick,plastic,sports stick,,pocket
lacrosse stick,wood,sports stick,,pocket
lacrosse stick,wood,sports stick,,pocket
lacrosse stick,,sports stick,,pocket
lacrosse stick,,sports stick,,pocket
ThinkPad X200,,laptop,,pointing stick
PVA glue,,adhesive,,polyvinyl acetate
PVA glue,,emulsion,,polyvinyl acetate
PVA glue,,stationery,,polyvinyl acetate
reciprocating engine,,engine-generator,,Poppet valve
reciprocating engine,,internal combustion engine,,Poppet valve
reciprocating engine,,Kolbenmaschine,,Poppet valve
Centralized mail delivery,,wardrobe,,post box
Centralized mail delivery,,wardrobe,,post box
slider,,machine element,,potentiometer
slider,,user interface,,potentiometer
pistol cartridge,,cartridge,,powder explosive
gas turbine trainset,,trainset,,power car
gas turbine trainset,,trainset,,power car
personal computer,,computer,,power supply
desktop computer,,personal computer,,power supply unit
space suit,,environmental suit,,Primary Life Support System
space suit,,environmental suit,,Primary Life Support System
space suit,,personal protective equipment,,Primary Life Support System
space suit,,personal protective equipment,,Primary Life Support System
cartridge,,ammunition,,primer
pistol cartridge,,cartridge,,primer
cartridge,,product,,primer
mobile phone,,mobile device,,printed circuit board
mobile phone,,telephone,,printed circuit board
PK8000,,computer,,printer
machine language,,artificial language,,programming language
machine language,,communication,,programming language
machine language,,tool,,programming language
shell,,ammunition,,projectile
cartridge,,ammunition,,projectile
shell,,ammunition,,projectile
cartridge,,product,,projectile
shell,,projectile,,projectile
shell,,projectile,,projectile
shell,,weapon,,projectile
shell,,weapon,,projectile
shell,,ammunition,,propellant
cartridge,,ammunition,,propellant
shell,,ammunition,,propellant
cartridge,,product,,propellant
shell,,projectile,,propellant
shell,,projectile,,propellant
shell,,weapon,,propellant
shell,,weapon,,propellant
cinebulle,,hot air balloon,,propeller
cinebulle,,hot air balloon,,propeller
twin-screw steamer,,steamboat,,propeller
twin-screw steamer,,steamboat,,propeller
stage,,theater space,,Proscenium
stage,,workplace,,Proscenium
auditorium,,room,,proscenium theater box
auditorium,,theater space,,proscenium theater box
auditorium,,venue,,proscenium theater box
Yorktown-class,,aircraft carrier,,protective deck
Yorktown-class,,aircraft carrier,,protective deck
Yorktown-class,,aircraft carrier,,protective deck
Essex-class (short bow),,Essex-class,,protective deck
Essex-class (short bow),,Essex-class,,protective deck
Essex-class (short bow),,Essex-class,,protective deck
paper mill,,factory,,pulp mill
paper mill,,mill,,pulp mill
calculator,,electronic device,,push-button
mobile phone,,mobile device,,push-button
calculator,,,,push-button
mobile phone,,telephone,,push-button
calculator,,tool,,push-button
PK8000,,computer,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
Wahrsagekarten,,playing card,,
Wahrsagekarten,,playing card,,
shovel,,hand tool,,
Wahrsagekarten,,playing card,,
Wahrsagekarten,,playing card,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
Wahrsagekarten,,playing card,,
Wahrsagekarten,,playing card,,
fork,,cutlery,,
spoon,,cutlery,,
fork,,cutlery,,
spoon,,cutlery,,
shovel,,hand tool,,
fork,,tableware,,
fork,,tableware,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
fauteuil,,armchair,,
ICE 4,,electric multiple unit,,
ICE 4,,electric multiple unit,,
Core i7-4770HQ,,Intel Core i7,,
Core i7-4770HQ,,tool,,
flagon,,container,,
flagon,,container,,
flagon,,container,,
flagon,,tableware,,
flagon,,tableware,,
flagon,,tableware,,
LeEco Le Max2,,phablet,,
mansard roof,,attic,,
mansard roof,,roof,,
organ,,keyboard instrument,,
fauteuil,,armchair,,
stairs,,architectural element,,
stairs,,horizontal structural element,,
stairs,,vertical structural element,,
backstage,,theater space,,
backstage,,workplace,,
plate,,tableware,,
plate,,tableware,,
mansard roof,,attic,,
mansard roof,,roof,,
Fly system,,machine,,
backstage,,theater space,,
backstage,,workplace,,
pendulum clock,,analog watch,,
pendulum clock,,clock,,
backstage,,theater space,,
backstage,,workplace,,
diesel pile hammer,,attachment,,
calculator,,electronic device,,
calculator,,,,
calculator,,tool,,
hammer,,blunt instrument,,
hammer,,hand tool,,
hammer,,impact tool,,
hammer,,,,
hammer,,tool,,
telega,,horse-drawn vehicle,,
telega,,horse-drawn vehicle,,
steam boiler,,boiler,,
Logging truck,,truck,,
Logging truck,,truck,,
electric locomotive,,electric vehicle,,
electric locomotive,,electric vehicle,,
electric locomotive,,locomotive,,
electric locomotive,,locomotive,,
carburetor,,device,,
carburetor,,engine fuel system,,
camera,,optical instrument,,
camera,,optical instrument,,
camera,,photo equipment,,
camera,,photo equipment,,
carburetor,,device,,
carburetor,,engine fuel system,,
carburetor,,device,,
carburetor,,engine fuel system,,
mobile phone,,mobile device,,
mobile phone,,telephone,,
face card,,playing card,,queen
face card,,playing card,,queen
fountain pen,,pen,,quill
fountain pen,,stationery,,quill
Arnines,,subway car,,R1
Arnines,,subway car,,R1
Redbird trains,,subway car,,R26
Redbird trains,,subway car,,R26
Redbird trains,,subway car,,R27
Redbird trains,,subway car,,R27
Redbird trains,,subway car,,R28
Redbird trains,,subway car,,R28
Redbird trains,,subway car,,R29
Redbird trains,,subway car,,R29
Redbird trains,,subway car,,R30
Redbird trains,,subway car,,R30
Redbird trains,,subway car,,R33
Redbird trains,,subway car,,R33
Redbird trains,,subway car,,R33 World's Fair
Redbird trains,,subway car,,R33 World's Fair
Redbird trains,,subway car,,R36
Redbird trains,,subway car,,R36
Redbird trains,,subway car,,R36 World's Fair
Redbird trains,,subway car,,R36 World's Fair
Arnines,,subway car,,R4
Arnines,,subway car,,R4
Arnines,,subway car,,R6
Arnines,,subway car,,R6
Arnines,,subway car,,R7
Arnines,,subway car,,R7
Arnines,,subway car,,R8A
Arnines,,subway car,,R8A
Arnines,,subway car,,R9
Arnines,,subway car,,R9
radioisotope thermoelectric generator,,electric generator,,radiator
radioisotope thermoelectric generator,,power supply,,radiator
radio interferometer,,astronomical interferometer,,radio telescope
radio interferometer,,facility,,radio telescope
Sd.Kfz. 135/1,,self-propelled artillery,,Radiotelephone
Raduga satellite constellation,,communications satellite,,Raduga
Raduga satellite constellation,,communications satellite,,Raduga
Raduga satellite constellation,,communications satellite,,Raduga 1M
Raduga satellite constellation,,communications satellite,,Raduga 1M
Raduga satellite constellation,,communications satellite,,Raduga-1
Raduga satellite constellation,,communications satellite,,Raduga-1
train,,land vehicle,,railroad car
train,,land vehicle,,railroad car
train,,rail guided transport,,railroad car
train,,rail guided transport,,railroad car
train,,wheeled vehicle,,railroad car
train,,wheeled vehicle,,railroad car
push-pull rake,,railway rake,,railway coach
push-pull rake,,railway rake,,railway coach
Yellow Sun,,nuclear weapon,,ram air turbine
personal computer,,computer,,Random Access Memory
Commodore 64,,home computer,,Random Access Memory
Raspberry Pi,,single-board computer,,Raspberry Pi 2 Model B
Raspberry Pi,,single-board computer,,Raspberry Pi 3 Model B
Raspberry Pi,,single-board computer,,Raspberry Pi 3 Model B+
Raspberry Pi,,single-board computer,,Raspberry Pi Compute Module
Raspberry Pi,,single-board computer,,Raspberry Pi Model A
Raspberry Pi,,single-board computer,,Raspberry Pi Model A+
Raspberry Pi,,single-board computer,,Raspberry Pi Model B
Raspberry Pi,,single-board computer,,Raspberry Pi Model B+
Raspberry Pi,,single-board computer,,Raspberry Pi Zero
Raspberry Pi,,single-board computer,,Raspberry Pi Zero W
RD-0243,,liquid-propellant rocket engine,,RD-0244
RD-0243,,liquid-propellant rocket engine,,RD-0245
Fregat,,space tug,,reaction control system
Fregat,,space tug,,reaction control system
fireless locomotive,,steam locomotive,,reciprocating engine
fireless locomotive,,steam locomotive,,reciprocating engine
EE-12,,utility vehicle,,recirculating ball steering
EE-12,,utility vehicle,,recirculating ball steering
Xiaomi Redmi,,smartphone,,Redmi 1S
backstage,,theater space,,rehearsal room
backstage,,workplace,,rehearsal room
RENFE Class 319,,diesel-electric locomotive,,RENFE Class 319 (early versions)
RENFE Class 319,,diesel-electric locomotive,,RENFE Class 319 (early versions)
RENFE Class 319,,diesel-electric locomotive,,RENFE Class 319 (later versions)
RENFE Class 319,,diesel-electric locomotive,,RENFE Class 319 (later versions)
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.20
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.20
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.22
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.22
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.3
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.3
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.4
RENFE Class 319 (later versions),,locomotive,,RENFE class 319.4
Stadler Euro 3000,,Stadler Euro,,RENFE Class 334
Stadler Euro 3000,,Stadler Euro,,RENFE Class 334
Bánh tráng,,rice paper,,rice flour
gabled roof,,roof,,ridge
front of house,,theater space,,ridotto
motorcycle,,motor vehicle,,rigid frame
motorcycle,,motor vehicle,,rigid frame
motorcycle,,two-wheeler,,rigid frame
motorcycle,,two-wheeler,,rigid frame
ring laser gyroscope,,gyroscope,,ring laser
ring laser gyroscope,,interferometer,,ring laser
combined wrench,,wrench,,ring wench
Rj.B. 9 and 10,,electric locomotive,,Rj.B. 10
Rj.B. 9 and 10,,electric locomotive,,Rj.B. 10
Rj.B. 9 and 10,,electric locomotive,,Rj.B. 9
Rj.B. 9 and 10,,electric locomotive,,Rj.B. 9
rocket engine,,internal combustion engine,,rocket engine nozzle
multistage rocket,,oversize load,,rocket stage
multistage rocket,,oversize load,,rocket stage
multistage rocket,,rocket,,rocket stage
multistage rocket,,rocket,,rocket stage
dial telephone,,telephone,,rotary dial
Mk 12 Special Purpose Rifle,,semi-automatic rifle,,rotating bolt
induction motor,,AC motor,,rotor
induction motor,,brushless electric motor,,rotor
brushed DC electric motor,,electric motor,,rotor
rowing boat,,boat,,rowlock
rowing boat,,boat,,rowlock
rowing boat,,boat,,rowlock
rowing boat,,human-powered vehicle,,rowlock
rowing boat,,human-powered vehicle,,rowlock
rowing boat,,human-powered vehicle,,rowlock
rowing boat,,rowing equipment,,rowlock
rowing boat,,rowing equipment,,rowlock
rowing boat,,rowing equipment,,rowlock
auditorium,,room,,royal box
auditorium,,theater space,,royal box
auditorium,,venue,,royal box
Atari ST,,Best Game ESPY Award,,RS-232
Atari ST,,home computer,,RS-232
Kirov-class battlecruiser,,battlecruiser,,Russian battlecruiser Admiral Lazarev
Kirov-class battlecruiser,,battlecruiser,,Russian battlecruiser Admiral Lazarev
Kirov-class battlecruiser,,battlecruiser,,Russian battlecruiser Admiral Lazarev
Kirov-class battlecruiser,,guided missile cruiser,,Russian battlecruiser Admiral Lazarev
Kirov-class battlecruiser,,guided missile cruiser,,Russian battlecruiser Admiral Lazarev
Kirov-class battlecruiser,,guided missile cruiser,,Russian battlecruiser Admiral Lazarev
Kirov-class battlecruiser,,battlecruiser,,Russian battlecruiser Admiral Nakhimov
Kirov-class battlecruiser,,battlecruiser,,Russian battlecruiser Admiral Nakhimov
Kirov-class battlecruiser,,battlecruiser,,Russian battlecruiser Admiral Nakhimov
Kirov-class battlecruiser,,guided missile cruiser,,Russian battlecruiser Admiral Nakhimov
Kirov-class battlecruiser,,guided missile cruiser,,Russian battlecruiser Admiral Nakhimov
Kirov-class battlecruiser,,guided missile cruiser,,Russian battlecruiser Admiral Nakhimov
Borodino-class battleship,,battleship,,Russian battleship Borodino
Borodino-class battleship,,battleship,,Russian battleship Borodino
Borodino-class battleship,,battleship,,Russian battleship Borodino
Gangut class battleship,,dreadnought,,Russian battleship Gangut
Gangut class battleship,,dreadnought,,Russian battleship Gangut
Gangut class battleship,,dreadnought,,Russian battleship Gangut
Borodino-class battleship,,battleship,,Russian battleship Imperator Aleksandr III
Borodino-class battleship,,battleship,,Russian battleship Imperator Aleksandr III
Borodino-class battleship,,battleship,,Russian battleship Imperator Aleksandr III
Borodino-class battleship,,battleship,,Russian battleship Knyaz Suvorov
Borodino-class battleship,,battleship,,Russian battleship Knyaz Suvorov
Borodino-class battleship,,battleship,,Russian battleship Knyaz Suvorov
Gangut class battleship,,dreadnought,,Russian battleship Petropavlovsk
Gangut class battleship,,dreadnought,,Russian battleship Petropavlovsk
Gangut class battleship,,dreadnought,,Russian battleship Petropavlovsk
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Petropavlovsk
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Petropavlovsk
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Petropavlovsk
Gangut class battleship,,dreadnought,,Russian battleship Poltava
Gangut class battleship,,dreadnought,,Russian battleship Poltava
Gangut class battleship,,dreadnought,,Russian battleship Poltava
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Poltava
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Poltava
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Poltava
Gangut class battleship,,dreadnought,,Russian battleship Sevastopol
Gangut class battleship,,dreadnought,,Russian battleship Sevastopol
Gangut class battleship,,dreadnought,,Russian battleship Sevastopol
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Sevastopol
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Sevastopol
Petropavlovsk-class battleship,,pre-dreadnought battleship,,Russian battleship Sevastopol
Borodino-class battleship,,battleship,,Russian battleship Slava
Borodino-class battleship,,battleship,,Russian battleship Slava
Borodino-class battleship,,battleship,,Russian battleship Slava
Pallada-class cruiser,,protected cruiser,,Russian cruiser Aurora
Pallada-class cruiser,,protected cruiser,,Russian cruiser Aurora
Pallada-class cruiser,,protected cruiser,,Russian cruiser Aurora
Pallada-class cruiser,,protected cruiser,,Russian cruiser Diana
Pallada-class cruiser,,protected cruiser,,Russian cruiser Diana
Pallada-class cruiser,,protected cruiser,,Russian cruiser Diana
Pallada-class cruiser,,protected cruiser,,Russian cruiser Pallada
Pallada-class cruiser,,protected cruiser,,Russian cruiser Pallada
Pallada-class cruiser,,protected cruiser,,Russian cruiser Pallada
Electron,,space vehicle,,Rutherford
Electron,,space vehicle,,Rutherford
Saab 32 Lansen,,second-generation jet fighter,,Saab A 32 Lansen
Saab 32 Lansen,,second-generation jet fighter,,Saab A 32 Lansen
Saab 32 Lansen,,second-generation jet fighter,,Saab A 32 Lansen
Saab 32 Lansen,,single-engine aircraft,,Saab A 32 Lansen
Saab 32 Lansen,,single-engine aircraft,,Saab A 32 Lansen
Saab 32 Lansen,,single-engine aircraft,,Saab A 32 Lansen
Saab 37 Viggen,,single-engine aircraft,,Saab AJ 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab AJ 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab AJ 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab AJ 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab AJ 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab AJ 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab JA 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab JA 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab JA 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab JA 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab JA 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab JA 37 Viggen
Saab 32 Lansen,,second-generation jet fighter,,Saab S 32 Lansen
Saab 32 Lansen,,second-generation jet fighter,,Saab S 32 Lansen
Saab 32 Lansen,,second-generation jet fighter,,Saab S 32 Lansen
Saab 32 Lansen,,single-engine aircraft,,Saab S 32 Lansen
Saab 32 Lansen,,single-engine aircraft,,Saab S 32 Lansen
Saab 32 Lansen,,single-engine aircraft,,Saab S 32 Lansen
Saab 37 Viggen,,single-engine aircraft,,Saab SF 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab SF 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab SF 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab SF 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab SF 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab SF 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab SH 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab SH 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab SH 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab SH 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab SH 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab SH 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab Sk 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab Sk 37 Viggen
Saab 37 Viggen,,single-engine aircraft,,Saab Sk 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab Sk 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab Sk 37 Viggen
Saab 37 Viggen,,third-generation jet fighter,,Saab Sk 37 Viggen
motorcycle,,motor vehicle,,saddle
motorcycle,,motor vehicle,,saddle
motorcycle,,two-wheeler,,saddle
motorcycle,,two-wheeler,,saddle
Galaxy Tab 3,,tablet computer,,Samsung Galaxy Tab 3 10.1
Galaxy Tab 3,,tablet computer,,Samsung Galaxy Tab 3 7.0
Galaxy Tab 3,,tablet computer,,Samsung Galaxy Tab 3 8.0
Galaxy Tab 3,,tablet computer,,Samsung Galaxy Tab 3 Lite 7.0
Hitachi SV12SG,,orbital sander,,sandpaper
Makita B04552,,orbital sander,,sandpaper
Ridgid R2500,,orbital sander,,sandpaper
Porter Cable 340,,orbital sander,,sandpaper
DeWalt DW411,,orbital sander,,sandpaper
Black and Decker FS540,,orbital sander,,sandpaper
Black and Decker FS350,,orbital sander,,sandpaper
Hitachi SV12SG,,power tool,,sandpaper
Makita B04552,,power tool,,sandpaper
Ridgid R2500,,power tool,,sandpaper
Porter Cable 340,,power tool,,sandpaper
DeWalt DW411,,power tool,,sandpaper
Black and Decker FS540,,power tool,,sandpaper
Black and Decker FS350,,power tool,,sandpaper
MEKO A-200 class frigate,,frigate,,SAS Amatola
MEKO A-200 class frigate,,frigate,,SAS Amatola
MEKO A-200 class frigate,,frigate,,SAS Amatola
MEKO A-200 class frigate,,MEKO 200,,SAS Amatola
MEKO A-200 class frigate,,MEKO 200,,SAS Amatola
MEKO A-200 class frigate,,MEKO 200,,SAS Amatola
Warrior class strike craft,,fast attack craft,,SAS Galeshewe
Warrior class strike craft,,fast attack craft,,SAS Galeshewe
Warrior class strike craft,,fast attack craft,,SAS Galeshewe
Warrior class strike craft,,fast attack craft,,SAS Isaac Dyobha
Warrior class strike craft,,fast attack craft,,SAS Isaac Dyobha
Warrior class strike craft,,fast attack craft,,SAS Isaac Dyobha
MEKO A-200 class frigate,,frigate,,SAS Isandlwana
MEKO A-200 class frigate,,frigate,,SAS Isandlwana
MEKO A-200 class frigate,,frigate,,SAS Isandlwana
MEKO A-200 class frigate,,MEKO 200,,SAS Isandlwana
MEKO A-200 class frigate,,MEKO 200,,SAS Isandlwana
MEKO A-200 class frigate,,MEKO 200,,SAS Isandlwana
Warrior class strike craft,,fast attack craft,,SAS Makhanda
Warrior class strike craft,,fast attack craft,,SAS Makhanda
Warrior class strike craft,,fast attack craft,,SAS Makhanda
MEKO A-200 class frigate,,frigate,,SAS Mendi
MEKO A-200 class frigate,,frigate,,SAS Mendi
MEKO A-200 class frigate,,frigate,,SAS Mendi
MEKO A-200 class frigate,,MEKO 200,,SAS Mendi
MEKO A-200 class frigate,,MEKO 200,,SAS Mendi
MEKO A-200 class frigate,,MEKO 200,,SAS Mendi
MEKO A-200 class frigate,,frigate,,SAS Spioenkop
MEKO A-200 class frigate,,frigate,,SAS Spioenkop
MEKO A-200 class frigate,,frigate,,SAS Spioenkop
MEKO A-200 class frigate,,MEKO 200,,SAS Spioenkop
MEKO A-200 class frigate,,MEKO 200,,SAS Spioenkop
MEKO A-200 class frigate,,MEKO 200,,SAS Spioenkop
Sturmgeschütz IIIG,,Sturmgeschütz III,,Saukopfblende
Sturmgeschütz IIIG,,Sturmgeschütz III,,Saukopfblende
Sturmgeschütz IIIG,,Sturmgeschütz III,,Saukopfblende
Porter Cable 345,,circular saw,,saw blade
Skil 5680,,circular saw,,saw blade
Porter Cable 314,,circular saw,,saw blade
Makita 5277NB,,circular saw,,saw blade
Makita 5057KB,,circular saw,,saw blade
Bosch CS5,,circular saw,,saw blade
Porter Cable 423MAG,,circular saw,,saw blade
Hitachi C7SB2,,circular saw,,saw blade
Bosch CS20,,circular saw,,saw blade
Porter Cable 743,,circular saw,,saw blade
Skil SHD77,,circular saw,,saw blade
Skil 5480-01,,circular saw,,saw blade
DeWalt DW364,,circular saw,,saw blade
Ridgid R3200,,circular saw,,saw blade
DeWalt DW378G,,circular saw,,saw blade
DeWalt DW384,,circular saw,,saw blade
Porter Cable PC13CSL,,circular saw,,saw blade
DeWalt DW369,,circular saw,,saw blade
Milwaukee 6390-20,,circular saw,,saw blade
Milwaukee 6375-20,,circular saw,,saw blade
Milwaukee 6391-21,,circular saw,,saw blade
Craftsman 172-10865,,circular saw,,saw blade
Makita 4200NH,,circular saw,,saw blade
Milwaukee 6378,,circular saw,,saw blade
Skil 5380-01,,circular saw,,saw blade
Ryobi CSB121,,circular saw,,saw blade
Porter Cable 324MAG,,circular saw,,saw blade
Skil 5400,,circular saw,,saw blade
DeWalt DW368,,circular saw,,saw blade
Makita 5007FK,,circular saw,,saw blade
Milwaukee 6460,,circular saw,,saw blade
Black and Decker FS1300CS,,circular saw,,saw blade
Skil 5750,,circular saw,,saw blade
Makita 5008NB,,circular saw,,saw blade
Skil 5600,,circular saw,,saw blade
Skil 5500,,circular saw,,saw blade
Tradesman M3052LW,,miter saw,,saw blade
Tradesman M2501W,,miter saw,,saw blade
DeWalt DW706,,miter saw,,saw blade
Global Machinery Company MS1015AUL,,miter saw,,saw blade
Hitachi C10FCE,,miter saw,,saw blade
Delta MS250,,miter saw,,saw blade
Porter Cable 345,,power tool,,saw blade
Skil 5680,,power tool,,saw blade
Porter Cable 314,,power tool,,saw blade
Makita 5277NB,,power tool,,saw blade
Makita 5057KB,,power tool,,saw blade
Bosch CS5,,power tool,,saw blade
Porter Cable 423MAG,,power tool,,saw blade
Hitachi C7SB2,,power tool,,saw blade
Bosch CS20,,power tool,,saw blade
Porter Cable 743,,power tool,,saw blade
Skil SHD77,,power tool,,saw blade
Skil 5480-01,,power tool,,saw blade
DeWalt DW364,,power tool,,saw blade
Ridgid R3200,,power tool,,saw blade
DeWalt DW378G,,power tool,,saw blade
DeWalt DW384,,power tool,,saw blade
Porter Cable PC13CSL,,power tool,,saw blade
DeWalt DW369,,power tool,,saw blade
Milwaukee 6390-20,,power tool,,saw blade
Milwaukee 6375-20,,power tool,,saw blade
Milwaukee 6391-21,,power tool,,saw blade
Tradesman M3052LW,,power tool,,saw blade
Tradesman M2501W,,power tool,,saw blade
DeWalt DW706,,power tool,,saw blade
Global Machinery Company MS1015AUL,,power tool,,saw blade
Hitachi C10FCE,,power tool,,saw blade
Delta MS250,,power tool,,saw blade
Craftsman 172-10865,,power tool,,saw blade
Makita 4200NH,,power tool,,saw blade
Milwaukee 6378,,power tool,,saw blade
Skil 5380-01,,power tool,,saw blade
Ryobi CSB121,,power tool,,saw blade
Porter Cable 324MAG,,power tool,,saw blade
Skil 5400,,power tool,,saw blade
DeWalt DW368,,power tool,,saw blade
Makita 5007FK,,power tool,,saw blade
Milwaukee 6460,,power tool,,saw blade
Black and Decker FS1300CS,,power tool,,saw blade
Skil 5750,,power tool,,saw blade
Makita 5008NB,,power tool,,saw blade
Skil 5600,,power tool,,saw blade
Skil 5500,,power tool,,saw blade
Scania PRT-range,,truck,,Scania G-series
Scania PRT-range,,truck,,Scania G-series
Scania PRT-range,,truck,,Scania P-series
Scania PRT-range,,truck,,Scania P-series
Scania PRT-range,,truck,,Scania R-series
Scania PRT-range,,truck,,Scania R-series
Scania PRT-range,,truck,,Scania T-series
Scania PRT-range,,truck,,Scania T-series
reaper,,harvesting machine,,Screw conveyor
screwdriver,,hand tool,,screw drive
screwdriver,,tool,,screw drive
